ID,Label,city_name,county_name,idcard_cnt,arpu_225,busi_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,month_ids,flow_month,opposite_count,opposite_unique,voccalltype1,imeis,voc_calltype1,city_name_call,county_name_call,phone2opposite_mean,phone2opposite_median,phone2opposite_max,phone2oppo_sum_mean,phone2oppo_sum_median,phone2oppo_sum_max,call_dur_mean,call_dur_median,call_dur_max,call_dur_min,city_name_nunique,county_name_nunique,calltype_id_unique,voc_hour_mode,voc_hour_mode_count,voc_hour_nunique,voc_day_mode,voc_day_mode_count,voc_day_nunique,sms_count,sms_nunique,sms_rate,calltype_2,calltype_rate,hour_mode,hour_mode_count,hour_nunique,day_mode,day_mode_count,day_nunique,max1_sms,max2_sms,max3_sms,smsbi,max1_voc,max2_voc,max3_voc,vocsum,vocbi,count1,count2,count3,count4,count5,countbi2,countbi3,countbi4,countbi5,sum1,sum2,sum3,sum4,sum5,sumbi2,sumbi3,sumbi4,sumbi5,avg1,avg2,avg3,avg4,avg5,avgbi2,avgbi3,avgbi4,avgbi5,smssum,vocsum/60,moneycha,more20count,botcount,botbi
22d522340df77e2252c1a4d92b4bcb00d515e36f3ec6bf94e017b4ffd67e26520af18637ad91bde69abd831cc36cdc0c5af5e57bc280f95f79efef7bfa9c6926,0,11,133,1,66.8,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,54,2.703703704,146,1,10,27,16,15,15,28,6,6,6,0.123287671,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.8,,,
5220d4b8429bdba3971a7b46a088c6b8fa6710f40607598ac1219daab6071510b3f66f78637420574dbb2d5488d44de9d4360a644bbe4ec45aaa4b7513bdc886,1,5,38,1,,0,0,0,0,0,,0,0,,33,23,33,2,1,0,0,1.434782609,1,5,776.7826087,194,8693,541.3939394,240,3505,2,0,0,1,14,7,10,23,18,4,137,41,3.341463415,131,0.95620438,14,56,7,22,72,4,54,34,17,0.766423358,5,4,4,33,0.393939394,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,297.7666667,-44.865,33,25,0.757575758
7d19dd2b50ced56f03d23bf928cf34dc570a48525571a868ffdcdc53a865b7a41c386a6f1d6567dd4a710530b933308c77d1ef89f77b580d1983dadd3de162ea,0,11,134,1,66.8,5,2.047895749,0.015533447,0.001190186,11.85002518,23.08457202,12.2873745,1,12.2873745,40,23,3,1,0.075,1,1,1.739130435,1,4,176.4347826,59,966,101.45,42.5,903,8,1,3,2,14,8,11,7,6,19,156,52,3,156,1,11,33,15,11,14,29,8,7,7,0.141025641,3,2,2,40,0.175,2,1,3,0,0,0.25,0.75,0,0,11.87747574,0.003616333,0.406282425,0,0,0.008822503,0.991177497,0,0,5.938737869,0.003616333,0.135427475,0,0,0.008822503,0.330392499,0,0,0,2.733333333,66.39,,,
134a4a591185c9d3788021896dcfc235e9e0a6a1e3f8a4fd3a9f9d9bf4a033e791b7199db980b0678020bdf689d719306a5c694ffa47b4ba2bec43ceda68dfc1,0,16,81,1,138.7,0,0,0,0,0,,0,0,,35,7,25,1,0.714285714,0,0,5,1,26,363.2857143,60,1137,72.65714286,34,1021,6,0,0,2,13,5,11,14,5,17,51,10,5.1,51,1,11,9,12,15,9,14,7,6,5,0.352941176,2,2,2,35,0.171428571,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.25,133.4125,25,16,0.64
2356dcd6759d50455ddaeed03c838843558e9182d5962f8a4c81a9a178063c49ab988750f795bb6c5462aee5dace2ad9fd18dbb1a6619dbb1e771e9b0f192da9,0,11,143,2,39,113,41.57459558,0.120333672,0.000320435,4208.590523,135800.7724,5446.272021,1,5446.272021,101,25,52,4,0.514851485,1,2,4.04,1,46,162.08,51,1241,40.11881188,23,634,1,1,2,2,14,17,14,2,13,25,68,18,3.777777778,67,0.985294118,11,17,11,28,11,19,6,5,5,0.235294118,6,5,5,101,0.158415842,91,6,27,7,0,0.15,0.675,0.175,0,5261.944554,32.11386681,147.1076088,5.105991364,0,0.17422182,0.798077526,0.027700654,0,57.82356653,5.352311134,5.448429955,0.729427338,0,0.02903697,0.029558427,0.003957236,0,1,45.93333333,32.01,52,40,0.769230769
4ea585532dd16a41b42f814c5ed2d18e93d07b2d76d770037fb477d30b46f46a142bcbb71bf81235879c15ea50520224c663f5964f25dbeaa5b014ff486030a2,0,11,148,1,9.8,0,0,0,0,0,,0,0,,1,1,1,1,1,0,0,1,1,1,1914,1914,1914,1914,1914,1914,1914,0,0,1,21,1,1,26,1,1,77,28,2.75,77,1,15,13,11,8,14,12,5,4,4,0.168831169,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.9,5.015,,,
bd954fbc4a32ee202578d24c1af2df9e1db740912cead08e62656b4d7f90bbf839007576f523b5dc8be16de3e59d074320e14968c797ef483840f59eddeda778,0,16,91,1,2.1,2,0.003933271,0.000879288,0.00070858,0.010211945,2.96E-05,0.011799812,1,0.011799812,64,10,1,1,0.015625,1,1,6.4,2.5,34,3448.2,1462,15966,538.78125,368.5,2090,6,1,1,2,8,12,15,8,5,28,25,4,6.25,25,1,12,9,5,8,20,3,9,6,5,0.8,3,3,3,64,0.140625,1,1,1,0,0,0.5,0.5,0,0,0.010211945,0.00070858,0.000879288,0,0,0.446246246,0.553753754,0,0,0.010211945,0.00070858,0.000879288,0,0,0.446246246,0.553753754,0,0,0,13.01666667,18.1475,,,
ba64696f2808101fe7e7f37bb50117a8a72535bd516c9276a719cdcacee5d1813bc598f3d86d19dc0b4a0084c7b8c22c59d62bc7ea55d2dae21b37b8fb88fc67,1,11,76,3,,61,3.401649515,0.082480431,0.00022316,41.20912266,72.61762834,241.5171156,1,241.5171156,19,9,13,1,0.684210526,1,3,2.111111111,2,4,133.4444444,74,548,63.21052632,25,322,6,1,5,2,10,4,9,12,6,9,57,9,6.333333333,57,1,11,8,12,24,12,18,4,4,3,0.192982456,3,2,2,19,0.368421053,48,3,14,6,0,0.130434783,0.608695652,0.260869565,0,212.9288521,18.20582485,9.89914608,0.48329258,0,0.636828636,0.346266085,0.016905279,0,4.436017752,6.068608284,0.707081863,0.080548763,0,0.212276212,0.024733292,0.002817547,0,0,14.68333333,-2.2025,,,
6562edeaa63dcd67825cdb18e0d4f3e9eaa07fce0edcdfd456c901c5964292cd79aafb661cc3b58b18cd5d3ed0a2477e19911bd70ddd0fa72569c9ded4403125,1,0,0,1,76.4,3,0.037395954,0.001516342,0.000389099,0.146162033,0.005258694,0.149583817,1,0.149583817,106,84,106,1,1,0,0,1.261904762,1,7,362.2857143,66.5,8962,287.0943396,78.5,1800,2,0,0,1,13,21,11,8,56,2,34,5,6.8,34,1,10,8,7,9,11,4,8,6,4,0.529411765,16,12,10,106,0.358490566,1,1,1,1,0,0.333333333,0.333333333,0.333333333,0,0.146162033,0.000389099,0.000561714,0.00247097,0,0.113712375,0.164158305,0.72212932,0,0.146162033,0.000389099,0.000561714,0.00247097,0,0.113712375,0.164158305,0.72212932,0,0,507.2,-0.04,106,71,0.669811321
32dee85edbe2423cf1f265133ae00fb833622bc59b7f05ef45cc06ee8c34bceaa904952c1fd0f389353a4ae13a88e1fcce565ab7fcf4535ee153e5b87f171719,0,17,112,2,11.9,110,189.3026487,0.270352364,0.00044632,8382.926197,922937.9526,21769.8046,1,21769.8046,56,18,19,1,0.339285714,1,1,3.111111111,1,20,269,136.5,1445,86.46428571,41.5,805,2,1,1,2,14,7,14,13,9,22,170,17,10,170,1,11,26,15,9,17,27,7,6,5,0.105882353,3,3,2,56,0.142857143,73,5,24,13,0,0.119047619,0.571428571,0.30952381,0,21112.14039,130.0776863,525.2596922,2.32683754,0,0.197787386,0.798674581,0.003538033,0,289.2074026,26.01553726,21.88582051,0.178987503,0,0.039557477,0.033278108,0.000272156,0,0,29.93333333,97.41,,,
